Possession,Abbreviation,StateFIPS,PresidentialVoting,CensusName,CensusRegionName,CensusDivisionName,CensusRegionCode,CensusDivisionCode,Population,SqMiles,Density
Alabama,AL,1,1,ALABAMA,South,East South Central,3,6,5024279,50645,99.20582486
Alaska,AK,2,1,ALASKA,West,Pacific,4,9,733391,570641,1.285205585
Arizona,AZ,4,1,ARIZONA,West,Mountain,4,8,7151502,113594,62.95668785
Arkansas,AR,5,1,ARKANSAS,South,West South Central,3,7,3011524,52035,57.87496877
California,CA,6,1,CALIFORNIA,West,Pacific,4,9,39538223,"155,959[4]",#VALUE!
Colorado,CO,8,1,COLORADO,West,Mountain,4,8,5773714,103642,55.70824569
Connecticut,CT,9,1,CONNECTICUT,Northeast,New England,1,1,3605944,4842,744.7220157
Delaware,DE,10,1,DELAWARE,South,South Atlantic,3,5,989948,1949,507.926116
District of Columbia,DC,11,1,DISTRICT_OF_COLUMBIA,South,South Atlantic,3,5,689545,61,11304.01639
Florida,FL,12,1,FLORIDA,South,South Atlantic,3,5,21538187,53625,401.6445128
Georgia,GA,13,1,GEORGIA,South,South Atlantic,3,5,10214860,57513,177.6095839
Hawaii,HI,15,1,HAWAII,West,Pacific,4,9,1455271,6423,226.5718512
Idaho,ID,16,1,IDAHO,West,Mountain,4,8,1839106,82643,22.253621
Illinois,IL,17,1,ILLINOIS,Midwest,East North Central,2,3,12812508,55519,230.7769953
Indiana,IN,18,1,INDIANA,Midwest,East North Central,2,3,6785528,35826,189.4023335
Iowa,IA,19,1,IOWA,Midwest,West North Central,2,4,3190369,55857,57.11672664
Kansas,KS,20,1,KANSAS,Midwest,West North Central,2,4,2937880,81759,35.93341406
Kentucky,KY,21,1,KENTUCKY,South,East South Central,3,6,4505836,39486,114.1122423
Louisiana,LA,22,1,LOUISANA,South,West South Central,3,7,4657757,43204,107.8084668
Maine,ME,23,1,MAINE,Northeast,New England,1,1,1363359,30843,44.20319035
Maryland,MD,24,1,MARYLAND,South,South Atlantic,3,5,6177224,9707,636.3679819
Massachusetts,MA,25,1,MASSACHUSETTS,Northeast,New England,1,1,7029917,7800,901.2714103
Michigan,MI,26,1,MICHIGAN,Midwest,East North Central,2,3,10077331,56539,178.23681
Minnesota,MN,27,1,MINNESOTA,Midwest,West North Central,2,4,5706494,79627,71.66531453
Mississippi,MS,28,1,MISSISSIPPI,South,East South Central,3,6,2961279,46923,63.10932805
Missouri,MO,29,1,MISSOURI,Midwest,West North Central,2,4,6154913,68742,89.53642606
Montana,MT,30,1,MONTANA,West,Mountain,4,8,1084225,145546,7.449363088
Nebraska,NE,31,1,NEBRASKA,Midwest,West North Central,2,4,1961504,76824,25.53243778
Nevada,NV,32,1,NEVADA,West,Mountain,4,8,3104614,109781,28.28006668
